Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,22',0:1,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,90',1:3,Right-footed shot,Moritz Leitner,Polaco
Bundesliga ,30,4/11/12,Home,Borussia Dortmund,Bayern Munich,1:0,CF,77',1:0,Deflected shot on goal,Kevin Großkreutz,Polaco
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,20',2:0,Left-footed shot,Neven Subotic,Polaco
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,27',3:0,Tap-in,Lukasz Piszczek,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,45'+1,3:1,Right-footed shot,Shinji Kagawa,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,58',4:1,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,81',5:2,Header,Lukasz Piszczek,Polaco
DFL-Supercup ,Final,8/12/12,Away,Borussia Dortmund,Bayern Munich,2:1,CF,75',2:1,Right-footed shot,Julian Schieber,Polaco
Bundesliga ,3,9/15/12,Home,Borussia Dortmund,Bayer 04 Leverkusen,3:0,CF,78',3:0,Header,Marco Reus,Polaco
Champions League ,Group Stage,9/18/12,Home,Borussia Dortmund,Ajax Amsterdam,1:0,CF,87',1:0,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,7,10/7/12,Away,Borussia Dortmund,Hannover 96,1:1,CF,26',0:1,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,8,10/20/12,Home,Borussia Dortmund,FC Schalke 04,1:2,CF,55',1:2,Header,Marco Reus,Polaco
Champions League ,Group Stage,10/24/12,Home,Borussia Dortmund,Real Madrid,2:1,CF,36',1:0,Right-footed shot,Sebastian Kehl,Polaco
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,51',0:2,Left-footed shot,Mario Götze,Polaco
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,70',0:3,Left-footed shot,Marco Reus,Polaco
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,3',1:0,Left-footed shot,Mario Götze,Polaco
