M2,AMBIENTES,ANTIGUEDAD,BAÑOS,LATITUD,LONGITUD,COMUNA,DOLARES
70,3,20,1,-34.613123762749204,-58.381739477895266,COMUNA 01,149000
52,2,25,1,-34.59064292286974,-58.511355211181744,COMUNA 11,85000
37,2,20,1,-34.6143361118654,-58.41593362173679,COMUNA 05,85000
41,2,20,1,-34.552091659535925,-58.470891562188044,COMUNA 13,84900
38,2,20,1,-34.61409152857649,-58.380379932457764,COMUNA 01,68000
26,1,45,1,-34.612752132223356,-58.37755775233335,COMUNA 01,58000
38,1,7,1,-34.56537584552588,-58.438228160184565,COMUNA 14,95000
38,1,7,1,-34.56537584552588,-58.438228160184565,COMUNA 14,95000
33,1,45,1,-34.59768632345841,-58.37825480102614,COMUNA 01,69000
63,3,35,1,-34.615310895090865,-58.409559182643186,COMUNA 03,110000
70,3,12,2,-34.60331627576958,-58.41305890098404,COMUNA 05,155000
70,3,12,2,-34.60331627576958,-58.41305890098404,COMUNA 05,155000
45,2,10,1,-34.553523483498076,-58.46628822870441,COMUNA 13,135000
89,4,40,2,-34.59182995421841,-58.403250187196676,COMUNA 02,245000
50,3,20,1,-34.56932882007751,-58.479744776319926,COMUNA 12,108000
45,2,20,1,-34.568492813986985,-58.43495143159546,COMUNA 14,112000
32,1,20,1,-34.557497479056806,-58.44887270009274,COMUNA 13,68000
30,2,35,1,-34.59620808263374,-58.37301088225011,COMUNA 01,72000
35,2,50,1,-34.5780502796692,-58.41184406639327,COMUNA 14,95000
120,4,50,3,-34.597193129234036,-58.38900752714264,COMUNA 02,298000
35,2,20,1,-34.605773317303445,-58.453933410724346,COMUNA 06,70000
54,2,2,1,-34.58179894130526,-58.428012097307615,COMUNA 14,194000
38,2,20,1,-34.60829224720059,-58.4588846631368,COMUNA 06,78000
64,3,40,1,-34.59073076499162,-58.397335778909685,COMUNA 02,172000
85,4,20,1,-34.630489684392586,-58.471436391755645,COMUNA 07,140000
95,4,10,2,-34.628289471121036,-58.43083990663433,COMUNA 07,270000
77,4,20,1,-34.585264227265164,-58.406224088130074,COMUNA 02,235000
83,3,20,1,-34.554854699858254,-58.4612276833409,COMUNA 13,175000
165,5,20,3,-34.61872631259565,-58.43137099943215,COMUNA 06,435000
133,2,5,1,-34.604882753164354,-58.3644274873096,COMUNA 01,670000
35,2,20,1,-34.601047535273516,-58.42984679011476,COMUNA 05,77000
42,2,20,1,-34.60182006047133,-58.38941812575511,COMUNA 01,92000
32,3,20,1,-34.616880157770346,-58.500047917557715,COMUNA 10,65000
51,2,35,1,-34.58931668758941,-58.40202124593089,COMUNA 02,127000
74,3,10,1,-34.55481400897171,-58.44929998317462,COMUNA 13,250000
26,1,4,1,-34.59637959380494,-58.44271268468354,COMUNA 15,64000
53,1,3,1,-34.628215989326094,-58.4481704417231,COMUNA 06,125000
42,2,40,1,-34.57683587594816,-58.423648888233814,COMUNA 14,99000
137,3,3,2,-34.54420133096465,-58.46111055734332,COMUNA 13,325000
137,3,3,2,-34.54420133096465,-58.46111055734332,COMUNA 13,325000
50,3,35,1,-34.617298722680744,-58.37733200308801,COMUNA 01,82000
54,3,20,1,-34.5763304085928,-58.485474571098116,COMUNA 12,120000
48,2,38,1,-34.568885689151955,-58.45225588848616,COMUNA 13,94000
202,4,54,2,-34.57592750270757,-58.40581161078649,COMUNA 14,575000
96,3,50,2,-34.63737106219825,-58.36424652249397,COMUNA 04,110000
50,2,5,2,-34.628076665042805,-58.44315274021193,COMUNA 06,138000
102,4,35,2,-34.55585466598269,-58.466026627361536,COMUNA 13,220000
